id;geom;geom_text;u;v;key;osmid;lanes;name;highway;oneway;reversed;length;maxspeed;speed_kph
229635;x1;LINESTRING(14.2980148 50.0936904,14.2980178 50.0938206,14.2980098 50.0938896,14.297996 50.0939451,14.2979762 50.0940111,14.2979618 50.0940471,14.29793 50.0941054,14.2978984 50.0941471,14.2978506 50.0941944,14.2977973 50.0942401,14.297719 50.0942872,14.297473 50.0944155,14.2973602 50.0945069);105018755;105018763;x5;x6;x7;x8;trunk_link;x10;x11;x12;50;50
229706;x1;LINESTRING(14.4950323 50.0671417,14.4951083 50.0671184,14.4953529 50.0670465,14.4959854 50.0668482,14.4960421 50.0668305);106019785;8507657582;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
229812;x1;LINESTRING(14.4837691 50.0994711,14.4816313 50.098333);109810081;25917028;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
229940;x1;LINESTRING(14.5178748 50.1187242,14.5178271 50.118808,14.5176422 50.1191213);110948831;110948836;x5;x6;x7;x8;primary_link;x10;x11;x12;50;50
229942;x1;LINESTRING(14.5178748 50.1187242,14.5179936 50.1187641,14.5183837 50.118944);110948831;110948873;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
229951;x1;LINESTRING(14.5183837 50.118944,14.5179936 50.1187641,14.5178748 50.1187242);110948873;110948831;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
229957;x1;LINESTRING(14.4856052 50.1544314,14.485499 50.153547,14.4853466 50.1522615,14.4853439 50.1521511,14.48537 50.151978);110950627;73455034;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
230027;x1;LINESTRING(14.5877623 50.1068949,14.5878004 50.1067673,14.5878621 50.1066011,14.5879167 50.1064457,14.5879852 50.1062388,14.5880347 50.1060785,14.5880856 50.105917,14.5881416 50.1057356);112189451;272088131;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
230056;x1;LINESTRING(14.3736781 50.1347687,14.3734337 50.1348948);112447713;112447270;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
230195;x1;LINESTRING(14.5660667 50.0068793,14.5656217 50.0068341,14.5646964 50.0067434,14.5644271 50.0067142,14.5643333 50.006703,14.5642304 50.0066843);114104107;114102780;x5;x6;x7;x8;trunk_link;x10;x11;x12;0;69
230595;x1;LINESTRING(14.5726565 50.0019309,14.5721294 50.0023296,14.5718964 50.0024728);117454315;6032090275;x5;x6;x7;x8;motorway_link;x10;x11;x12;130;130
230597;x1;LINESTRING(14.5859655 49.9942789,14.585785 49.9943823);117454318;10676566547;x5;x6;x7;x8;motorway;x10;x11;x12;130;130
230660;x1;LINESTRING(14.4509846 50.0153562,14.4510076 50.0153415,14.4510347 50.01533,14.4510648 50.0153223,14.4510967 50.0153186);119070897;116961898;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
230736;x1;LINESTRING(14.4725873 50.126704,14.4725509 50.1267696,14.4725368 50.1267951,14.4725076 50.1268478);120935944;120935950;x5;x6;x7;x8;secondary_link;x10;x11;x12;50;50
230744;x1;LINESTRING(14.4672247 50.1262075,14.4675048 50.1262158,14.4682178 50.1262403,14.4686528 50.1262553,14.4688408 50.1262618,14.4694774 50.126291,14.4704848 50.1263922,14.4707939 50.1264332,14.4711983 50.1264869,14.4722194 50.1266445,14.4722886 50.1266556,14.4725873 50.126704);120936095;120935944;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
230753;x1;LINESTRING(14.486931 50.1276726,14.4870608 50.1277402);121005894;21299216;x5;x6;x7;x8;secondary_link;x10;x11;x12;50;50
230755;x1;LINESTRING(14.486931 50.1276726,14.4868737 50.1276413,14.4868255 50.1276129,14.4865284 50.1274453);121005894;21299217;x5;x6;x7;x8;trunk_link;x10;x11;x12;50;50
230888;x1;LINESTRING(14.4944728 50.1451736,14.4943432 50.1458266);123010783;1794164889;x5;x6;x7;x8;trunk;x10;x11;x12;80;80
230954;x1;LINESTRING(14.4704477 50.0135597,14.4709684 50.0132284,14.4711552 50.0131208,14.4712576 50.0131202,14.4719353 50.0135588,14.4721808 50.0136956);124369043;124369036;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
230958;x1;LINESTRING(14.4583019 50.0268049,14.4587995 50.0262524,14.4598585 50.0247345,14.4600493 50.0244781,14.4600669 50.0244523,14.4600993 50.0244046,14.4601311 50.0243579,14.4601596 50.0243159,14.4612916 50.0226769,14.4617138 50.0220495,14.4617404 50.0220099,14.4617923 50.0219511,14.4619346 50.021789);124397026;28976774;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
231119;x1;LINESTRING(14.3873024 50.1454662,14.3877401 50.1458379,14.3877922 50.1458822,14.388606 50.1465734,14.3889085 50.1468304,14.3889368 50.1468542,14.3896244 50.1475511,14.3903507 50.1482872,14.3910039 50.1486337,14.3927808 50.1495382,14.3933056 50.1497836,14.3935003 50.1499044,14.3944833 50.1507499,14.3953841 50.1518935,14.3956628 50.1520836,14.3957755 50.1524553,14.3958045 50.1528438,14.3959445 50.1532979,14.3958259 50.1536102,14.3956203 50.1537608,14.3950833 50.1540027,14.395013 50.1541662,14.3951294 50.1543845,14.3955151 50.1547961,14.3955863 50.1548721,14.3958703 50.1551752);125813545;30558365;x5;x6;x7;x8;['track', 'service'];x10;x11;x12;0;42
231327;x1;LINESTRING(14.5010924 50.1107034,14.5012972 50.1107556,14.501418 50.1107894,14.5015039 50.1108186,14.5016132 50.1108611,14.5021512 50.1110932,14.5022091 50.1111146,14.5022589 50.1111319,14.5022959 50.1111441,14.502328 50.1111511,14.5023689 50.1111571,14.5024204 50.1111626,14.5025114 50.1111692);130184678;24969842;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
231433;x1;LINESTRING(14.4705748 50.0727639,14.4703156 50.0733306,14.4702983 50.0733676,14.4702461 50.0734812);130487895;21311913;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
231441;x1;LINESTRING(14.5035514 50.1116228,14.50358 50.1116552,14.503633 50.1117153,14.5037049 50.1117589,14.5046334 50.1120717,14.5048845 50.1121611,14.5049305 50.1121719,14.5049903 50.112171,14.5050347 50.1121576,14.5050723 50.1121373,14.505094 50.1121076,14.5051208 50.1118977,14.505186 50.1113858);130488181;8665536567;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
231565;x1;LINESTRING(14.4913948 50.1496924,14.4911938 50.1496879,14.4910703 50.1496727,14.4909346 50.1496315,14.4908394 50.1495869,14.4907568 50.1495233,14.4906892 50.1494537,14.4906494 50.149367,14.4906342 50.1492723,14.4906396 50.1491434,14.4906655 50.1486176);132854299;108216425;x5;x6;x7;x8;trunk_link;x10;x11;x12;80;80
231640;x1;LINESTRING(14.4827955 50.1047953,14.4826441 50.1047438,14.4825314 50.1046996,14.4824095 50.1046412,14.4823204 50.1046051);135583623;26164846;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
231712;x1;LINESTRING(14.4998635 50.1033365,14.4998272 50.1031731,14.4998193 50.1031366,14.4996724 50.1024737,14.4996669 50.102449,14.499648 50.1023659);137519234;137518097;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
232183;x1;LINESTRING(14.5379784 50.0769228,14.5379936 50.0770301,14.5379953 50.0770482,14.5379972 50.0770811);150609811;8682905986;x5;x6;x7;x8;primary;x10;x11;x12;50;50
232355;x1;LINESTRING(14.5097952 50.1178141,14.5102084 50.1175835,14.5102935 50.1175624,14.5104302 50.1175013,14.5105309 50.1174083,14.5106707 50.1172209,14.5107194 50.1171404,14.5107399 50.1170326,14.5107239 50.1169018);153048938;153048123;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
232422;x1;LINESTRING(14.4584362 50.1257361,14.4582526 50.1256949);153071727;1286726696;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
232547;x1;LINESTRING(14.5279572 50.1554569,14.5277069 50.1558596,14.5276418 50.1559689,14.5276198 50.1560146,14.527486 50.1562927,14.5272655 50.156832,14.5270613 50.1573094,14.5268016 50.1578183,14.5262093 50.1588246,14.5258943 50.1593812);156399842;156399148;x5;x6;x7;x8;['residential', 'unclassified'];x10;x11;x12;50;50
232552;x1;LINESTRING(14.3873044 50.0358298,14.3873269 50.0358698);157506729;7711674373;x5;x6;x7;x8;primary_link;x10;x11;x12;0;61
232643;x1;LINESTRING(14.5266233 50.1549189,14.5266324 50.1550902,14.5267236 50.1551884,14.5267959 50.1552583);158709658;2122281756;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;50;50
232791;x1;LINESTRING(14.5228119 50.1586674,14.5226925 50.1586623,14.5207979 50.1585463,14.5194744 50.1584908,14.519484 50.1583807,14.5194331 50.1583618,14.51924 50.1583447,14.5191756 50.1583258,14.5191407 50.1582759,14.5191123 50.1581759);158723821;6097192984;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
233118;x1;LINESTRING(14.5024136 50.1067056,14.5022955 50.1070402);165146857;798284831;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
233282;x1;LINESTRING(14.3694519 50.0699458,14.3696566 50.0699577,14.3697664 50.0699605,14.3706809 50.0699844,14.3708615 50.0699861,14.371178 50.069989,14.3718361 50.0699935);170359078;170359583;x5;x6;x7;x8;primary;x10;x11;x12;50;50
233337;x1;LINESTRING(14.369406 50.0701183,14.3692098 50.0701073);170385133;1417374703;x5;x6;x7;x8;primary;x10;x11;x12;50;50
233368;x1;LINESTRING(14.563876 50.1262898,14.5638609 50.1262196,14.5636799 50.1256693,14.5635112 50.1251507,14.5642315 50.1249667,14.5657567 50.1245388);171318627;171321343;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
233901;x1;LINESTRING(14.3527004 50.0490967,14.3524993 50.049166,14.352477 50.0491761,14.3524482 50.049189,14.3522472 50.0492982,14.3521831 50.0493402,14.3521253 50.0493782,14.3520582 50.0494342,14.3519868 50.0495035,14.3519337 50.049575);176927326;1139476523;x5;x6;x7;x8;primary;x10;x11;x12;50;50
