WKT;osmid;y;x
x;694235;50.0248;14.499
x;694239;50.0272;14.4931
x;694241;50.0412;14.4869
x;694243;50.041;14.4893
x;694248;50.0461;14.4839
x;694249;50.0436;14.4768
x;694252;50.0464;14.4686
x;694255;50.0446;14.4726
x;694256;50.0482;14.4599
x;694258;50.0439;14.4622
x;694259;50.0445;14.4638
x;694260;50.0452;14.4643
x;694265;50.0457;14.4705
x;694266;50.0489;14.4336
x;694268;50.0452;14.4339
x;694269;50.0452;14.4341
x;694283;50.0445;14.4368
x;694286;50.0434;14.4292
x;694287;50.0436;14.4308
x;694290;50.0432;14.4274
x;694291;50.0436;14.425
x;694292;50.0441;14.4253
x;694293;50.0436;14.428
x;694296;50.0432;14.4279
x;694303;50.0469;14.4248
x;694306;50.0456;14.4216
x;694310;50.0473;14.4283
x;694311;50.048;14.4268
x;694312;50.0474;14.4262
x;694313;50.047;14.4263
x;694314;50.0481;14.4257
x;694319;50.0477;14.4244
x;694323;50.1019;14.3929
x;694324;50.1032;14.3906
x;694325;50.1019;14.389
x;694326;50.1012;14.3921
x;694327;50.1044;14.3922
x;694328;50.1046;14.3948
x;694329;50.1009;14.3951
x;694406;50.0365;14.4953
x;694407;50.0366;14.4956
x;694408;50.036;14.4947
x;694409;50.0361;14.4946
x;694410;50.0359;14.4943
x;694411;50.0369;14.496
x;694412;50.035;14.4968
x;694414;50.0474;14.4258
x;703045;50.0164;14.3434
x;703047;50.0243;14.3548
x;703077;50.0252;14.2977
x;703091;50.0383;14.3257
x;703096;50.0412;14.3343
x;703099;50.0458;14.3417
x;703114;50.057;14.3837
x;703117;50.0577;14.389
x;703121;50.0612;14.3982
x;703133;50.0209;14.5089
x;703134;50.0208;14.509
x;703136;50.0188;14.5103
x;703139;50.0133;14.5137
x;703140;50.0134;14.5146
x;703144;50.0331;14.5359
x;703153;50.042;14.4905
x;703154;50.0435;14.4894
x;703160;50.0493;14.4809
x;703170;50.061;14.4478
x;703171;50.0568;14.461
x;703186;50.0446;14.4365
x;703188;50.0459;14.4374
x;703189;50.0458;14.4362
x;703191;50.0477;14.4362
x;703192;50.0487;14.4364
x;703195;50.05;14.441
x;703198;50.052;14.4395
x;703199;50.0501;14.4411
x;703208;50.0657;14.4412
x;703214;50.0651;14.4246
x;703215;50.0656;14.4241
x;703220;50.0452;14.4254
x;703233;50.0453;14.4489
x;703236;50.05;14.4413
x;703237;50.0433;14.4388
x;703324;50.038;14.4924
x;703325;50.0349;14.4972
x;703327;50.034;14.4986
x;703331;50.0326;14.5018
x;703332;50.0315;14.5066
x;703373;50.0489;14.4347
x;703409;50.0325;14.4222
x;703416;50.0332;14.4379
x;703427;50.0326;14.5226
x;703429;50.0324;14.5224
x;703430;50.0324;14.5227
x;703432;50.0293;14.5255
x;703434;50.0291;14.5256
x;703436;50.0292;14.5258
x;703437;50.0291;14.5258
x;703438;50.034;14.5374
x;703439;50.0339;14.5376
x;703441;50.0339;14.5377
x;703476;50.0203;14.5003
x;703477;50.0201;14.5005
x;703479;50.0326;14.5199
x;703480;50.0326;14.5224
x;703990;50.043;14.4749
x;703992;50.0416;14.4764
x;703994;50.0418;14.4777
x;703996;50.041;14.478
x;704017;50.0417;14.4832
x;704018;50.0419;14.4834
x;704021;50.0428;14.4879
x;704062;50.0464;14.4751
x;704063;50.0488;14.4807
x;704064;50.0497;14.4798
x;704065;50.0503;14.4784
x;704066;50.0512;14.4775
x;704070;50.057;14.4712
x;704071;50.0462;14.4837
x;704072;50.0437;14.4766
x;704074;50.0431;14.4749
x;704076;50.0422;14.4724
x;704077;50.0581;14.445
x;704079;50.0603;14.4471
x;704080;50.0647;14.4414
x;704081;50.064;14.4402
x;704083;50.062;14.4377
x;704084;50.0619;14.44
x;704087;50.0631;14.4353
x;704089;50.0634;14.4328
x;704091;50.0638;14.4381
x;704092;50.0462;14.4248
x;704093;50.0469;14.4272
x;704096;50.0457;14.4274
x;704097;50.0457;14.4286
x;704098;50.0465;14.4284
x;704102;50.0459;14.4303
x;704103;50.0448;14.4276
x;704104;50.0464;14.4273
x;704105;50.0473;14.4288
x;704106;50.0474;14.43
x;704107;50.0469;14.4284
x;704108;50.0472;14.4282
x;704109;50.0475;14.4285
x;704112;50.0504;14.4282
x;704113;50.0513;14.4274
x;704116;50.0533;14.4311
x;704118;50.0558;14.4352
x;704120;50.0508;14.4424
x;708607;50.0404;14.4383
x;722598;50.034;14.4433
x;722602;50.0365;14.4444
x;722612;50.0404;14.4347
x;722697;50.0554;14.4342
x;722699;50.0549;14.4347
x;722701;50.0541;14.4329
x;722706;50.0517;14.4377
x;722811;50.0534;14.4307
x;722815;50.049;14.4243
x;722818;50.0506;14.4241
x;722820;50.0509;14.424
x;722821;50.0526;14.43
x;722822;50.0529;14.4295
x;722824;50.0557;14.4297
x;722825;50.0562;14.4302
x;722828;50.057;14.4278
x;722832;50.0532;14.4249
x;722833;50.0527;14.4263
x;722989;50.0479;14.4443
x;722990;50.048;14.4445
x;722991;50.0488;14.4428
x;722993;50.0473;14.4452
x;722994;50.0474;14.4453
x;722995;50.0455;14.4481
x;722998;50.0479;14.4409
x;723001;50.0466;14.4406
x;723003;50.0473;14.442
x;723004;50.0477;14.4413
x;723005;50.0462;14.4407
x;723007;50.0458;14.4417
x;723008;50.0455;14.4422
x;723009;50.0454;14.4424
x;723010;50.046;14.4429
x;723011;50.0459;14.4431
x;723012;50.0463;14.4424
x;723013;50.047;14.4435
x;723014;50.0481;14.4418
x;723015;50.0451;14.4429
x;723017;50.0459;14.4442
x;723019;50.0449;14.446
x;723021;50.0445;14.4465
x;723022;50.0452;14.4465
x;723026;50.0463;14.4447
x;723027;50.0466;14.4451
x;723029;50.047;14.4444
x;723030;50.0473;14.4439
x;723031;50.0484;14.4422
x;723032;50.0474;14.4451
x;723035;50.0493;14.4481
x;723037;50.0493;14.4467
x;723038;50.0492;14.4463
x;723122;50.0518;14.45
x;723124;50.0511;14.4494
x;723128;50.0501;14.4576
x;723135;50.0509;14.4487
x;723137;50.0512;14.4486
x;723138;50.0512;14.4481
x;723145;50.0496;14.4492
x;723146;50.0492;14.4523
x;723147;50.0487;14.4524
x;723148;50.0483;14.4521
x;723151;50.0496;14.4488
x;723282;50.0331;14.4087
x;723286;50.0321;14.4089
x;723288;50.0321;14.4102
x;723296;50.0233;14.404
x;723297;50.0233;14.4042
x;723298;50.0233;14.4016
x;723302;50.0142;14.3987
x;723305;50.01;14.3995
x;723306;50.0102;14.4023
x;723307;50.0104;14.403
x;723308;50.0105;14.4047
x;723309;50.011;14.4097
x;723310;50.0163;14.4022
x;723312;50.0141;14.4021
x;723317;50.0104;14.4028
x;723319;50.0079;14.4035
x;723397;50.0066;14.4041
x;723398;50.0056;14.4044
x;723399;50.0045;14.4048
x;723402;50.0021;14.4054
x;723403;50.0022;14.4077
